,City,LocType,NO2,SO2,Sampling.Date,State
153,Hyderabad,Sensitive Area,17.2,4.7,2007-12-15,Andhra Pradesh
154,Hyderabad,Sensitive Area,16.7,4.9,2007-12-17,Andhra Pradesh
155,Hyderabad,Sensitive Area,17.0,4.9,2007-12-21,Andhra Pradesh
156,Hyderabad,Sensitive Area,16.7,5.0,2007-12-27,Andhra Pradesh
157,Hyderabad,Sensitive Area,16.5,4.7,2007-12-29,Andhra Pradesh
158,Hyderabad,Sensitive Area,21.2,4.6,2007-03-01,Andhra Pradesh
159,Hyderabad,Sensitive Area,24.4,4.5,2007-05-01,Andhra Pradesh
160,Hyderabad,Sensitive Area,56.9,5.6,2007-08-01,Andhra Pradesh
161,Hyderabad,Sensitive Area,15.9,4.4,2007-09-01,Andhra Pradesh
162,Hyderabad,Sensitive Area,16.2,5.0,2007-11-01,Andhra Pradesh
163,Hyderabad,Sensitive Area,18.3,4.4,2007-03-02,Andhra Pradesh
164,Hyderabad,Sensitive Area,16.6,5.2,2007-09-02,Andhra Pradesh
165,Hyderabad,Sensitive Area,17.6,4.3,2007-11-02,Andhra Pradesh
166,Hyderabad,Sensitive Area,16.2,4.6,2007-05-03,Andhra Pradesh
167,Hyderabad,Sensitive Area,16.6,4.8,2007-09-03,Andhra Pradesh
168,Hyderabad,Sensitive Area,17.5,4.8,2007-11-03,Andhra Pradesh
169,Hyderabad,Sensitive Area,14.0,4.7,2007-03-04,Andhra Pradesh
170,Hyderabad,Sensitive Area,16.0,4.8,2007-05-04,Andhra Pradesh
171,Hyderabad,Sensitive Area,17.7,4.8,2007-09-04,Andhra Pradesh
172,Hyderabad,Sensitive Area,17.3,5.0,2007-11-04,Andhra Pradesh
173,Hyderabad,Sensitive Area,,,2007-03-05,Andhra Pradesh
174,Hyderabad,Sensitive Area,17.8,4.9,2007-05-05,Andhra Pradesh
175,Hyderabad,Sensitive Area,17.4,4.9,2007-09-05,Andhra Pradesh
176,Hyderabad,Sensitive Area,17.0,4.7,2007-11-05,Andhra Pradesh
177,Hyderabad,Sensitive Area,15.8,4.7,2007-03-06,Andhra Pradesh
178,Hyderabad,Sensitive Area,14.0,4.7,2007-05-06,Andhra Pradesh
179,Hyderabad,Sensitive Area,13.9,4.7,2007-09-06,Andhra Pradesh
180,Hyderabad,Sensitive Area,12.0,4.7,2007-11-06,Andhra Pradesh
181,Hyderabad,Sensitive Area,15.9,4.7,2007-03-07,Andhra Pradesh
182,Hyderabad,Sensitive Area,16.1,4.7,2007-05-07,Andhra Pradesh
