,Unnamed: 0,City,LocType,NO2,SO2,Sampling.Date,State,Scale_SO2,Scale_NO2
97,97,Hyderabad,Sensitive Area,16.2,4.7,2007-01-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
98,98,Hyderabad,Sensitive Area,17.3,4.9,2007-01-29,Andhra Pradesh,0.06630581867388363,0.014631233203941477
99,99,Hyderabad,Sensitive Area,16.1,4.9,2007-02-15,Andhra Pradesh,0.06630581867388363,0.014631233203941477
100,100,Hyderabad,Sensitive Area,17.1,4.9,2007-02-17,Andhra Pradesh,0.06630581867388363,0.014631233203941477
101,101,Hyderabad,Sensitive Area,16.4,4.4,2007-02-21,Andhra Pradesh,0.05953991880920163,0.01313825022394745
102,102,Hyderabad,Sensitive Area,17.5,4.9,2007-02-23,Andhra Pradesh,0.06630581867388363,0.014631233203941477
103,103,Hyderabad,Sensitive Area,17.1,4.9,2007-02-25,Andhra Pradesh,0.06630581867388363,0.014631233203941477
104,104,Hyderabad,Sensitive Area,17.1,4.9,2007-02-27,Andhra Pradesh,0.06630581867388363,0.014631233203941477
105,105,Hyderabad,Sensitive Area,15.7,4.8,2007-03-15,Andhra Pradesh,0.06495263870094722,0.01433263660794267
106,106,Hyderabad,Sensitive Area,17.0,4.8,2007-03-17,Andhra Pradesh,0.06495263870094722,0.01433263660794267
107,107,Hyderabad,Sensitive Area,12.9,4.4,2007-03-18,Andhra Pradesh,0.05953991880920163,0.01313825022394745
108,108,Hyderabad,Sensitive Area,17.0,4.7,2007-03-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
109,109,Hyderabad,Sensitive Area,17.0,4.8,2007-03-23,Andhra Pradesh,0.06495263870094722,0.01433263660794267
110,110,Hyderabad,Sensitive Area,18.5,4.7,2007-03-27,Andhra Pradesh,0.06359945872801083,0.014034040011943865
111,111,Hyderabad,Sensitive Area,12.9,4.8,2007-03-31,Andhra Pradesh,0.06495263870094722,0.01433263660794267
112,112,Hyderabad,Sensitive Area,18.1,4.8,2007-04-15,Andhra Pradesh,0.06495263870094722,0.01433263660794267
113,113,Hyderabad,Sensitive Area,19.1,4.6,2007-04-17,Andhra Pradesh,0.062246278755074415,0.013735443415945058
114,114,Hyderabad,Sensitive Area,17.9,4.7,2007-04-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
115,115,Hyderabad,Sensitive Area,17.7,4.9,2007-04-27,Andhra Pradesh,0.06630581867388363,0.014631233203941477
116,116,Hyderabad,Sensitive Area,19.5,4.8,2007-04-29,Andhra Pradesh,0.06495263870094722,0.01433263660794267
117,117,Hyderabad,Sensitive Area,17.7,4.7,2007-05-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
118,118,Hyderabad,Sensitive Area,14.8,4.8,2007-05-17,Andhra Pradesh,0.06495263870094722,0.01433263660794267
119,119,Hyderabad,Sensitive Area,17.2,4.7,2007-05-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
120,120,Hyderabad,Sensitive Area,12.9,4.7,2007-05-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
121,121,Hyderabad,Sensitive Area,13.5,4.9,2007-05-27,Andhra Pradesh,0.06630581867388363,0.014631233203941477
122,122,Hyderabad,Sensitive Area,15.4,4.7,2007-05-29,Andhra Pradesh,0.06359945872801083,0.014034040011943865
123,123,Hyderabad,Sensitive Area,13.7,4.7,2007-06-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
124,124,Hyderabad,Sensitive Area,16.3,4.7,2007-06-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
125,125,Hyderabad,Sensitive Area,14.7,4.7,2007-06-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
126,126,Hyderabad,Sensitive Area,15.8,4.4,2007-06-23,Andhra Pradesh,0.05953991880920163,0.01313825022394745
127,127,Hyderabad,Sensitive Area,15.9,4.6,2007-06-27,Andhra Pradesh,0.062246278755074415,0.013735443415945058
128,128,Hyderabad,Sensitive Area,15.4,4.7,2007-07-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
